"الإيرادات التشغيلية","النفقات التشغيلية","عدد الموظفين","عدد المنشآت","الأرباح التشغيلية",النشاط,العام,"حجم المنشأة"
1977359000,953418000,3276,371,1023941000,الاتصالات,2011,"‏19-5 موظف"
83260208000,38771228000,38381,147,44488980000,الاتصالات,2011,"‏20+ موظف"
2141684000,1053522000,3863,1844,1088162000,الاتصالات,2011,"‏4-1 موظفين"
2297144000,1012881000,3493,396,1284263000,الاتصالات,2012,"‏19-5 موظف"
92597460000,42483819000,41870,160,50113641000,الاتصالات,2012,"‏20+ موظف"
2276841000,1115574000,4103,1958,1161267000,الاتصالات,2012,"‏4-1 موظفين"
100025721000,46823723000,45255,173,53201998000,الاتصالات,2013,"‏20+ موظف"
2368573000,1187224000,4311,2057,1181349000,الاتصالات,2013,"‏4-1 موظفين"
2637722000,1097800000,3737,424,1539922000,الاتصالات,2013,"‏19-5 موظف"
113943465000,52976292000,55429,212,60967173000,الاتصالات,2014,"‏20+ موظف"
2477147000,1245494000,4980,2377,1231653000,الاتصالات,2014,"‏4-1 موظفين"
2952029000,1184533000,4460,506,1767496000,الاتصالات,2014,"‏19-5 موظف"
3167904000,1384223000,4890,523,1783681000,الاتصالات,2015,"‏19-5 موظف"
131199849000,60361112000,61608,260,70838737000,الاتصالات,2015,"‏20+ موظف"
2889745000,1436736000,5418,2384,1453009000,الاتصالات,2015,"‏4-1 موظفين"
3793212000,1978433000,5921,2505,1814779000,الاتصالات,2016,"‏4-1 موظفين"
3229937000,1546079000,5212,560,1683858000,الاتصالات,2016,"‏19-5 موظف"
132707354000,64602086000,67521,281,68105268000,الاتصالات,2016,"‏20+ موظف"
141205747000,62068071000,68670,281,79137676000,الاتصالات,2017,"‏20+ موظف"
4036529000,1900919000,5987,2508,2135610000,الاتصالات,2017,"‏4-1 موظفين"
3437552000,1485344000,5274,564,1952208000,الاتصالات,2017,"‏19-5 موظف"
3751302000,1592096000,7568,562,2159206000,الاتصالات,2018,"‏19-5 موظف"
152408012000,68885712000,186957,281,83522300000,الاتصالات,2018,"‏20+ موظف"
4330190000,2069613000,7497,2398,2260577000,الاتصالات,2018,"‏4-1 موظفين"
